??????,????????,????????,????????
2,0.002,0.002,0.002
4,0.001,0.002,0.001
8,0.001,0.002,0.001
16,0.002,0.002,0.001
32,0.027,0.002,0.003
64,0.009,0.004,0.01
128,0.044,0.008,0.073
256,0.098,0.032,0.232
512,0.215,0.036,0.533
