??????,????????,????????,????????
2,0.001,0.002,0.001
4,0.001,0.003,0
8,0.02,0.001,0.001
16,0.011,0.001,0.001
32,0.018,0.016,0.003
64,0.029,0.004,0.025
128,0.042,0.007,0.076
256,0.102,0.014,0.187
512,0.162,0.028,0.606
